dataset_name,sample,factor,penalty,correct,test_size,accuracy
ACSF1,592.5816095990,0.0000000000,0.0000000000,64,100,0.6400000000
Adiac,9.6606556367,0.0100000000,0.0966065564,239,391,0.6112531969
ArrowHead,62.8502402261,0.5000000000,31.4251201130,140,175,0.8000000000
Beef,300.1047955130,0.5000000000,150.0523977570,20,30,0.6666666667
BeetleFly,908.2962390110,0.0000000000,0.0000000000,14,20,0.7000000000
BirdChicken,673.1532741500,0.0000000000,0.0000000000,15,20,0.7500000000
BME,102.2013850590,0.6600000000,67.4529141389,124,150,0.8266666667
Car,134.7572966800,0.5050000000,68.0524348236,44,60,0.7333333333
CBF,169.3775677890,0.0000000000,0.0000000000,897,900,0.9966666667
Chinatown,1745982.3125000000,0.4950000000,864261.2446879999,324,343,0.9446064140
ChlorineConcentration,59.9848339553,0.8100000000,48.5877155038,2496,3840,0.6500000000
CinCECGTorso,3253.3608039300,0.0100000000,32.5336080393,1259,1380,0.9123188406
Coffee,4.9642377160,0.5000000000,2.4821188580,28,28,1.0000000000
Computers,1366.5084469100,0.0000000000,0.0000000000,175,250,0.7000000000
CricketX,591.6995173380,0.0000000000,0.0000000000,294,390,0.7538461538
CricketY,588.4688060540,0.0000000000,0.0000000000,290,390,0.7435897436
CricketZ,595.1566419090,0.0000000000,0.0000000000,294,390,0.7538461538
Crop,4.4079946433,0.0100000000,0.0440799464,12235,16800,0.7282738095
DiatomSizeReduction,13.0255625483,0.4900000000,6.3825256486,286,306,0.9346405229
DistalPhalanxOutlineAgeGroup,8.8084369024,0.0100000000,0.0880843690,97,139,0.6978417266
DistalPhalanxOutlineCorrect,11.1586360118,0.0200000000,0.2231727202,194,276,0.7028985507
DistalPhalanxTW,8.7025517203,0.0400000000,0.3481020688,91,139,0.6546762590
Earthquakes,1017.6953323200,0.0300000000,30.5308599697,101,139,0.7266187050
ECG200,69.8226600227,0.0100000000,0.6982266002,88,100,0.8800000000
ECG5000,128.8560787790,0.0100000000,1.2885607878,4183,4500,0.9295555556
ECGFiveDays,135.9458643900,0.0200000000,2.7189172878,797,861,0.9256678281
ElectricDevices,183.4987728020,0.0000000000,0.0000000000,4595,7711,0.5959019582
EOGHorizontalSignal,56111287.6450000033,0.6300000000,35350111.2163000032,160,362,0.4419889503
EOGVerticalSignal,100853158.1570000052,0.4000000000,40341263.2629000023,131,362,0.3618784530
EthanolLevel,64.6842340803,0.0000000000,0.0000000000,138,500,0.2760000000
FaceAll,222.1209733200,0.0100000000,2.2212097332,1348,1690,0.7976331361
FaceFour,461.7445945470,0.0150000000,6.9261689182,76,88,0.8636363636
FacesUCR,218.0295787950,0.0100000000,2.1802957880,1924,2050,0.9385365854
FiftyWords,490.5993430870,0.0100000000,4.9059934309,305,455,0.6703296703
Fish,63.4608219811,0.7400000000,46.9610082660,137,175,0.7828571429
FordA,993.9248452020,0.0100000000,9.9392484520,946,1320,0.7166666667
FordB,1003.5593862100,0.0100000000,10.0355938621,511,810,0.6308641975
FreezerRegularTrain,144.1771619050,0.0000000000,0.0000000000,2562,2850,0.8989473684
FreezerSmallTrain,135.8592667570,0.5000000000,67.9296333785,1926,2850,0.6757894737
Fungi,30225.7746275000,0.4950000000,14961.7584406000,156,186,0.8387096774
GunPoint,69.5157960920,0.5000000000,34.7578980460,137,150,0.9133333333
GunPointAgeSpan,23889290.1788999997,0.0000000000,0.0000000000,311,316,0.9841772152
GunPointMaleVersusFemale,25762282.3016000018,0.5000000000,12881141.1508000009,314,316,0.9936708861
GunPointOldVersusYoung,24310862.1785000004,0.4950000000,12033876.7784000002,315,315,1.0000000000
Ham,150.7521893960,0.2000000000,30.1504378793,63,105,0.6000000000
HandOutlines,389.4416792820,0.8300000000,323.2365938040,319,370,0.8621621622
Haptics,517.6597681550,0.4800000000,248.4766887140,114,308,0.3701298701
Herring,47.8104337652,0.0000000000,0.0000000000,34,64,0.5312500000
HouseTwenty,2641136858.7600002289,0.0000000000,0.0000000000,100,119,0.8403361345
InlineSkate,2089.4554344700,0.0000000000,0.0000000000,211,550,0.3836363636
InsectEPGRegularTrain,1887.4724557300,0.4950000000,934.2988655880,249,249,1.0000000000
InsectEPGSmallTrain,2074.6196523000,0.4950000000,1026.9367278900,249,249,1.0000000000
InsectWingbeatSound,434.7401420540,0.1000000000,43.4740142054,1112,1980,0.5616161616
ItalyPowerDemand,11.6098606937,0.4950000000,5.7468810434,983,1029,0.9552964043
LargeKitchenAppliances,1419.1523893900,0.0000000000,0.0000000000,298,375,0.7946666667
Lightning2,891.5566169360,0.0000000000,0.0000000000,53,61,0.8688524590
Lightning7,435.2863197600,0.0300000000,13.0585895928,46,73,0.6301369863
Mallat,170.7943739830,0.4900000000,83.6892432516,2144,2345,0.9142857143
Meat,0.7029293457,0.4950000000,0.3479500261,56,60,0.9333333333
MedicalImages,93.8487138875,0.0650000000,6.1001664027,523,760,0.6881578947
MiddlePhalanxOutlineAgeGroup,3.8890181533,0.0100000000,0.0388901815,76,154,0.4935064935
MiddlePhalanxOutlineCorrect,4.0813548428,0.1100000000,0.4489490327,223,291,0.7663230241
MiddlePhalanxTW,4.1382860530,0.5200000000,2.1519087476,79,154,0.5129870130
MixedShapesRegularTrain,1535.9536815800,0.4950000000,760.2970723810,2176,2425,0.8973195876
MixedShapesSmallTrain,1486.5925360000,0.4750000000,706.1314546010,2026,2425,0.8354639175
MoteStrain,91.4984669575,0.1650000000,15.0972470480,1102,1252,0.8801916933
NonInvasiveFetalECGThorax1,110.8078853840,0.0100000000,1.1080788538,1634,1965,0.8315521628
NonInvasiveFetalECGThorax2,135.9917350890,0.0100000000,1.3599173509,1740,1965,0.8854961832
OliveOil,0.1279303947,0.5150000000,0.0658841533,26,30,0.8666666667
OSULeaf,761.3937998540,0.0000000000,0.0000000000,143,242,0.5909090909
PhalangesOutlinesCorrect,6.4956220153,0.7600000000,4.9366727316,653,858,0.7610722611
Phoneme,2028.7360743800,0.0000000000,0.0000000000,433,1896,0.2283755274
PigAirwayPressure,49921.3920547000,0.0000000000,0.0000000000,38,208,0.1826923077
PigArtPressure,775759.3856960000,0.0000000000,0.0000000000,100,208,0.4807692308
PigCVP,24637.4912544000,0.0000000000,0.0000000000,68,208,0.3269230769
Plane,90.7238086328,0.0000000000,0.0000000000,105,105,1.0000000000
PowerCons,277.3264351000,0.0200000000,5.5465287020,174,180,0.9666666667
ProximalPhalanxOutlineAgeGroup,2.7025205396,0.0250000000,0.0675630135,163,205,0.7951219512
ProximalPhalanxOutlineCorrect,2.9005032824,0.0100000000,0.0290050328,234,291,0.8041237113
ProximalPhalanxTW,2.8097566415,0.0000000000,0.0000000000,155,205,0.7560975610
RefrigerationDevices,1431.5805161000,0.0000000000,0.0000000000,174,375,0.4640000000
Rock,2666323.0754600000,0.0000000000,0.0000000000,27,50,0.5400000000
ScreenType,1323.2395721500,0.0000000000,0.0000000000,149,375,0.3973333333
SemgHandGenderCh2,1204569.2578199999,0.1900000000,228868.1589860000,539,600,0.8983333333
SemgHandMovementCh2,1271161.9442600000,0.0000000000,0.0000000000,353,450,0.7844444444
SemgHandSubjectCh2,1273972.7996100001,0.0000000000,0.0000000000,393,450,0.8733333333
ShapeletSim,953.8556039100,0.0000000000,0.0000000000,117,180,0.6500000000
ShapesAll,872.5953190060,0.0000000000,0.0000000000,461,600,0.7683333333
SmallKitchenAppliances,1429.6838949300,0.0000000000,0.0000000000,241,375,0.6426666667
SmoothSubspace,1.9566900524,0.0350000000,0.0684841518,143,150,0.9533333333
SonyAIBORobotSurface1,37.1057507182,0.5150000000,19.1094616199,418,601,0.6955074875
SonyAIBORobotSurface2,80.5160102943,0.4950000000,39.8554250957,819,953,0.8593913956
StarLightCurves,852.4664454490,0.0000000000,0.0000000000,7467,8236,0.9066294318
Strawberry,16.0131491028,0.4950000000,7.9265088059,350,370,0.9459459459
SwedishLeaf,70.2025436272,0.0100000000,0.7020254363,548,625,0.8768000000
Symbols,520.7358738410,0.0000000000,0.0000000000,945,995,0.9497487437
SyntheticControl,116.8201800310,0.0100000000,1.1682018003,297,300,0.9900000000
ToeSegmentation1,538.0882993320,0.0000000000,0.0000000000,176,228,0.7719298246
ToeSegmentation2,665.2722053630,0.0000000000,0.0000000000,109,130,0.8384615385
Trace,400.9491936940,0.0000000000,0.0000000000,100,100,1.0000000000
TwoLeadECG,23.7673556908,0.0050000000,0.1188367785,997,1139,0.8753292362
TwoPatterns,253.9395559350,0.0050000000,1.2696977797,4000,4000,1.0000000000
UMD,108.6354476210,0.0000000000,0.0000000000,127,144,0.8819444444
UWaveGestureLibraryAll,1844.4865202100,0.2100000000,387.3421692430,3396,3582,0.9480737018
UWaveGestureLibraryX,621.7072444430,0.0100000000,6.2170724444,2653,3582,0.7406476829
UWaveGestureLibraryY,612.5819898860,0.8400000000,514.5688715040,2370,3582,0.6616415410
UWaveGestureLibraryZ,605.9348697470,0.8800000000,533.2226853780,2327,3582,0.6496370743
Wafer,261.1888154310,0.0300000000,7.8356644629,6138,6164,0.9957819598
Wine,0.3027989802,0.4950000000,0.1498854952,33,54,0.6111111111
WordSynonyms,490.6349572000,0.0100000000,4.9063495720,419,638,0.6567398119
Worms,1789.2996962200,0.0000000000,0.0000000000,45,77,0.5844155844
WormsTwoClass,1803.0793638100,0.0000000000,0.0000000000,48,77,0.6233766234
Yoga,636.8202551540,0.0000000000,0.0000000000,2509,3000,0.8363333333
